sku;ean;han;brand;name;description;price;delivery_time;shipping_costs;url;image_url;category;delivery_time_at;shipping_costs_at
BMB-TAC-ECO-TOWER-1580010140;4052138112991;BMB-TAC-ECO-TOWER-1580010140;TROTEC;TROTEC TAC ECO TOWER — Professioneller mobiler HEPA-H14-Luftreiniger;TROTEC TAC ECO TOWER HEPA H14 Luftreiniger: nur €573 statt €1.434. EN 1822 zertifiziert, Made in Germany. Autorisierter TROTEC-Partner, kostenloser Versand in DE.;573.00;5-10 Werktage;0.00;https://shop.bmbrheinlandgmbh.com/de/products/trotec-tac-eco-tower-professional-hepa-h14-mobile-air-cleaning-unit;https://cdn.shopify.com/s/files/1/0962/3932/1432/files/Room-air-purifier-TAC-ECO-TOWER-141119-1632401443.webp?v=1778632444;Luftreiniger;7-12 Werktage;399.00
BMB-TAC-M-MOBILE-1580000145;;1.580.000.145;TROTEC;TROTEC TAC M — Professioneller mobiler HEPA-H14-Luftreiniger;TROTEC TAC M mobiler HEPA H14 Luftreiniger: nur €621 statt €1.554. EN 1822, Made in Germany, thermische Dekontamination. Autorisierter TROTEC-Partner.;621.00;5-10 Werktage;0.00;https://shop.bmbrheinlandgmbh.com/de/products/trotec-tac-m-professional-hepa-h14-mobile-air-cleaning-unit;https://cdn.shopify.com/s/files/1/0962/3932/1432/files/Room-air-purifier-TAC-M-in-basalt-grey-black-129980-1609155286.webp?v=1778705722;Luftreiniger;7-12 Werktage;399.00
BMB-TAC-ECO-II-MOBILE-1580001140;4052138112977;BMB-TAC-ECO-II-MOBILE-1580001140;TROTEC;TROTEC TAC ECO II — Professioneller mobiler HEPA-H14-Luftreiniger;TROTEC TAC ECO II mobiler HEPA H14 Luftreiniger: nur €657 statt €1.314. EN 1822, Made in Germany. Autorisierter TROTEC-Partner, kostenloser Versand.;657.00;5-10 Werktage;0.00;https://shop.bmbrheinlandgmbh.com/de/products/trotec-tac-eco-ii-professional-hepa-h14-mobile-air-cleaning-unit;https://cdn.shopify.com/s/files/1/0962/3932/1432/files/tacecoii.jpg?v=1778708893;Luftreiniger;7-12 Werktage;399.00
BMB-TAC-M-TOWER-1580010145;;BMB-TAC-M-TOWER-1580010145;TROTEC;TROTEC TAC M TOWER — Professioneller stationärer HEPA-H14-Luftreiniger;TROTEC TAC M TOWER stationärer HEPA H14 Luftreiniger: nur €765 statt €1.914. EN 1822, Made in Germany. Autorisierter TROTEC-Partner.;765.00;5-10 Werktage;0.00;https://shop.bmbrheinlandgmbh.com/de/products/trotec-tac-m-tower-professional-hepa-h14-stationary-air-cleaning-unit;https://cdn.shopify.com/s/files/1/0962/3932/1432/files/tacmpower.jpg?v=1778708899;Luftreiniger;7-12 Werktage;399.00
BMB-TAC-VP-TOWER-1580010152;4052138113004;BMB-TAC-VP-TOWER-1580010152;TROTEC;TROTEC TAC V+ TOWER — HEPA-H14-Luftreiniger-Flaggschiff mit thermischer Dekontamination;TROTEC TAC V+ TOWER HEPA H14 Luftreiniger mit thermischer Dekontamination: nur €1.080 statt €3.600. EN 1822, Made in Germany. Autorisierter TROTEC-Partner.;1080.00;5-10 Werktage;0.00;https://shop.bmbrheinlandgmbh.com/de/products/trotec-tac-v-tower-flagship-hepa-h14-air-cleaning-unit-with-thermal-decontamination;https://cdn.shopify.com/s/files/1/0962/3932/1432/files/tacvtower_1.jpg?v=1778708905;Luftreiniger;7-12 Werktage;399.00
BMB-H14-FILTER-7160000106;4052138094082;BMB-H14-FILTER-7160000106;TROTEC;Original TROTEC H14 HEPA-Ersatzfilter — hitzebeständig · für TAC V+ und TAC M;Original TROTEC H14 HEPA Ersatzfilter, hitzebeständig, mit Prüfzeugnis. Für TAC V+ und TAC M. EN 1822, Made in Germany. Autorisierter TROTEC-Partner.;189.00;5-10 Werktage;0.00;https://shop.bmbrheinlandgmbh.com/de/products/original-trotec-h14-hepa-replacement-filter-heat-resistant-for-tac-v-and-tac-m;https://cdn.shopify.com/s/files/1/0962/3932/1432/files/7160000106.jpg?v=1778708917;Ersatzfilter;7-12 Werktage;399.00
1.580.000.101;4052138010174;1.580.000.101;TROTEC;TROTEC TAC 750 E – Mobiler Bauluftreiniger (750 m³/h);Mobiler TROTEC Bauluftreiniger TAC 750 E mit HEPA-Filter, 750 m³/h. Für Sanierung und Staubschutz. Autorisierter Fachhändler, kostenloser Versand.;583.00;5-10 Werktage;0.00;https://shop.bmbrheinlandgmbh.com/de/products/trotec-tac-750-e-mobiler-bauluftreiniger-commercial-air-cleaner-750-m-h;https://cdn.shopify.com/s/files/1/0962/3932/1432/files/luftreiniger-tac-750-e-94566-1531990934.png?v=1782149924;Luftreiniger;7-12 Werktage;399.00
1.580.000.104;4052138015537;1.580.000.104;TROTEC;TROTEC TAC 1500 S – Mobiler Bauluftreiniger (1000 m³/h);TROTEC TAC 1500 S mit HEPA-Filtration, 1000 m³/h Luftleistung. Staubschutz bei Sanierung und Bau. Original vom autorisierten TROTEC Fachhändler.;1027.00;5-10 Werktage;0.00;https://shop.bmbrheinlandgmbh.com/de/products/trotec-tac-1500-s-mobiler-bauluftreiniger-commercial-air-cleaner-1-000-m-h;https://cdn.shopify.com/s/files/1/0962/3932/1432/files/Luftreiniger-TAC-1500-S-101638-1552292060.jpg?v=1782150133;Luftreiniger;7-12 Werktage;399.00
1.580.000.105;4052138008683;1.580.000.105;TROTEC;TROTEC TAC 1500 – Mobiler Bauluftreiniger (1000 m³/h);TROTEC TAC 1500 Luftreiniger mit 1000 m³/h für Baustellen und Sanierung. HEPA-Staubschutz. Kostenloser Versand in Deutschland.;1850.00;5-10 Werktage;0.00;https://shop.bmbrheinlandgmbh.com/de/products/trotec-tac-1500-mobiler-bauluftreiniger-commercial-air-cleaner-1-000-m-h;https://cdn.shopify.com/s/files/1/0962/3932/1432/files/Luftreiniger-TAC-1500-94541-1531990091.jpg?v=1787595040;Luftreiniger;7-12 Werktage;399.00
1.580.000.117;4052138177846;1.580.000.117;TROTEC;TROTEC TAC 3500 – Mobiler Bauluftreiniger (2150 m³/h);Leistungsstarker TROTEC Bauluftreiniger TAC 3500 mit 2150 m³/h. HEPA-Filtration für Industrie und Schadstoffsanierung. Autorisierter Fachhändler.;3248.00;10-20 Werktage;0.00;https://shop.bmbrheinlandgmbh.com/de/products/trotec-tac-3500-mobiler-bauluftreiniger-commercial-air-cleaner-2-150-m-h;https://cdn.shopify.com/s/files/1/0962/3932/1432/files/Trotec-TAC-3500-main-right_2f36eb961623f37d75fa298e9bd01544.webp?v=1782149926;Luftreiniger;7-12 Werktage;399.00
